Calendar Year,Measure,Age Filter,Users,Users Annotation code,Users Annotation Description,Denominator (3 Months Continuous Eligibility),Denominator Annotation code,Denominator Annotation Description,Utilization %,Utilization Annotation code,Utilization Annotation Description
CY 2015,Use of Restorative Services (D2000 - D2999),Age 35-44,"72,754",,,"1,105,194",,,6.58%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 45-64,"134,654",,,"2,305,484",,,5.84%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 65-74,"30,298",,,"590,549",,,5.13%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 6-9,"276,666",,,"1,212,991",,,22.81%,,
CY 2015,Use of Restorative Services (D2000 - D2999),Age 75+,"19,474",,,"518,590",,,3.76%,,
CY 2015,Use of Sealant (D1351),Age <1,,3,No data available,"250,364",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 10-14,"113,972",,,"1,335,627",,,8.53%,,
CY 2015,Use of Sealant (D1351),Age 1-2,,3,No data available,"591,362",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 15-18,,3,No data available,"994,141",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 19-20,,3,No data available,"465,822",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 21-34,,3,No data available,"2,463,261",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 3-5,,3,No data available,"871,749",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 35-44,,3,No data available,"1,105,194",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 45-64,,3,No data available,"2,305,484",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 65-74,,3,No data available,"590,549",,,,3,No data available
CY 2015,Use of Sealant (D1351),Age 6-9,"198,632",,,"1,212,991",,,16.38%,,
CY 2015,Use of Sealant (D1351),Age 75+,,3,No data available,"518,590",,,,3,No data available
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age <1,772,,,"250,364",,,0.31%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 10-14,"556,900",,,"1,335,627",,,41.70%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 1-2,"88,240",,,"591,362",,,14.92%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 15-18,"310,849",,,"994,141",,,31.27%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 19-20,"84,042",,,"465,822",,,18.04%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 21-34,"220,519",,,"2,463,261",,,8.95%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 3-5,"361,898",,,"871,749",,,41.51%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 35-44,"100,434",,,"1,105,194",,,9.09%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 45-64,"196,315",,,"2,305,484",,,8.52%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 65-74,"46,582",,,"590,549",,,7.89%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 6-9,"585,148",,,"1,212,991",,,48.24%,,
CY 2015,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351)",Age 75+,"32,854",,,"518,590",,,6.34%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age <1,"5,443",,,"250,052",,,2.18%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 10-14,"756,492",,,"1,456,248",,,51.95%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 1-2,"140,277",,,"605,175",,,23.18%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 15-18,"460,278",,,"1,102,856",,,41.74%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 19-20,"134,016",,,"492,478",,,27.21%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 21-34,"515,174",,,"2,824,714",,,18.24%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 3-5,"466,832",,,"903,380",,,51.68%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 35-44,"256,182",,,"1,245,287",,,20.57%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 45-64,"576,848",,,"2,505,633",,,23.02%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 65-74,"149,240",,,"648,546",,,23.01%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 6-9,"732,706",,,"1,247,032",,,58.76%,,
CY 2016,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 75+,"111,010",,,"539,061",,,20.59%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,632,,,"250,052",,,0.25%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"705,657",,,"1,456,248",,,48.46%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"21,480",,,"605,175",,,3.55%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"413,900",,,"1,102,856",,,37.53%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"116,597",,,"492,478",,,23.68%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"376,505",,,"2,824,714",,,13.33%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"438,867",,,"903,380",,,48.58%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"183,700",,,"1,245,287",,,14.75%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"403,870",,,"2,505,633",,,16.12%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"100,621",,,"648,546",,,15.51%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"689,646",,,"1,247,032",,,55.30%,,
CY 2016,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"68,594",,,"539,061",,,12.72%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,229,,,"250,052",,,0.09%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"357,780",,,"1,456,248",,,24.57%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"17,968",,,"605,175",,,2.97%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"232,376",,,"1,102,856",,,21.07%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"69,753",,,"492,478",,,14.16%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"299,061",,,"2,824,714",,,10.59%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"185,620",,,"903,380",,,20.55%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"151,347",,,"1,245,287",,,12.15%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"355,099",,,"2,505,633",,,14.17%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"97,278",,,"648,546",,,15.00%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"400,652",,,"1,247,032",,,32.13%,,
CY 2016,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"79,445",,,"539,061",,,14.74%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,"2,558",,,"250,052",,,1.02%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"707,791",,,"1,456,248",,,48.60%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"121,209",,,"605,175",,,20.03%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"403,378",,,"1,102,856",,,36.58%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"106,675",,,"492,478",,,21.66%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"313,295",,,"2,824,714",,,11.09%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"433,794",,,"903,380",,,48.02%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"146,401",,,"1,245,287",,,11.76%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"314,964",,,"2,505,633",,,12.57%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"77,755",,,"648,546",,,11.99%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"693,326",,,"1,247,032",,,55.60%,,
CY 2016,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"50,331",,,"539,061",,,9.34%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,57,,,"250,052",,,0.02%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"266,890",,,"1,456,248",,,18.33%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"13,437",,,"605,175",,,2.22%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"180,179",,,"1,102,856",,,16.34%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"48,707",,,"492,478",,,9.89%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"194,365",,,"2,824,714",,,6.88%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"165,964",,,"903,380",,,18.37%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"92,184",,,"1,245,287",,,7.40%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"174,705",,,"2,505,633",,,6.97%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"39,442",,,"648,546",,,6.08%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"322,437",,,"1,247,032",,,25.86%,,
CY 2016,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"22,184",,,"539,061",,,4.12%,,
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age <1,,3,No data available,"250,052",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 10-14,"134,328",,,"1,456,248",,,9.22%,,
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 1-2,,3,No data available,"605,175",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 15-18,,3,No data available,"1,102,856",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 19-20,,3,No data available,"492,478",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 21-34,,3,No data available,"2,824,714",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 3-5,,3,No data available,"903,380",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 35-44,,3,No data available,"1,245,287",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 45-64,,3,No data available,"2,505,633",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 65-74,,3,No data available,"648,546",,,,3,No data available
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 6-9,"214,344",,,"1,247,032",,,17.19%,,
CY 2016,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 75+,,3,No data available,"539,061",,,,3,No data available
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,942,,,"250,052",,,0.38%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"659,737",,,"1,456,248",,,45.30%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"94,040",,,"605,175",,,15.54%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"371,530",,,"1,102,856",,,33.69%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"95,773",,,"492,478",,,19.45%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"280,615",,,"2,824,714",,,9.93%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"394,396",,,"903,380",,,43.66%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"128,418",,,"1,245,287",,,10.31%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"253,502",,,"2,505,633",,,10.12%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"59,977",,,"648,546",,,9.25%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"656,017",,,"1,247,032",,,52.61%,,
CY 2016,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"38,425",,,"539,061",,,7.13%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age <1,"5,865",,,"237,656",,,2.47%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 10-14,"802,896",,,"1,459,208",,,55.02%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 1-2,"157,713",,,"581,236",,,27.13%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 15-18,"489,957",,,"1,085,000",,,45.16%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 19-20,"139,244",,,"479,530",,,29.04%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 21-34,"536,818",,,"2,798,498",,,19.18%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 3-5,"471,396",,,"880,582",,,53.53%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 35-44,"264,127",,,"1,243,924",,,21.23%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 45-64,"579,947",,,"2,438,453",,,23.78%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 65-74,"161,532",,,"674,012",,,23.97%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 6-9,"724,288",,,"1,192,271",,,60.75%,,
CY 2017,Annual Dental Visit (D0100 - D9999 or Safety Net Clinics 03 Encounters),Age 75+,"116,566",,,"546,142",,,21.34%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"1,324",,,"237,656",,,0.56%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"752,787",,,"1,459,208",,,51.59%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"101,184",,,"581,236",,,17.41%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"444,124",,,"1,085,000",,,40.93%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"122,406",,,"479,530",,,25.53%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"428,783",,,"2,798,498",,,15.32%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"420,983",,,"880,582",,,47.81%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"206,319",,,"1,243,924",,,16.59%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"445,539",,,"2,438,453",,,18.27%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"121,055",,,"674,012",,,17.96%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"684,168",,,"1,192,271",,,57.38%,,
CY 2017,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"82,470",,,"546,142",,,15.10%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,293,,,"237,656",,,0.12%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"379,282",,,"1,459,208",,,25.99%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"20,737",,,"581,236",,,3.57%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"246,558",,,"1,085,000",,,22.72%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"72,419",,,"479,530",,,15.10%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"305,345",,,"2,798,498",,,10.91%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"187,596",,,"880,582",,,21.30%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"155,057",,,"1,243,924",,,12.47%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"352,965",,,"2,438,453",,,14.47%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"104,508",,,"674,012",,,15.51%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"394,855",,,"1,192,271",,,33.12%,,
CY 2017,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"82,604",,,"546,142",,,15.13%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,"2,842",,,"237,656",,,1.20%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"757,559",,,"1,459,208",,,51.92%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"137,125",,,"581,236",,,23.59%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"434,574",,,"1,085,000",,,40.05%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"111,399",,,"479,530",,,23.23%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"330,475",,,"2,798,498",,,11.81%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"441,871",,,"880,582",,,50.18%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"154,419",,,"1,243,924",,,12.41%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"330,538",,,"2,438,453",,,13.56%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"88,376",,,"674,012",,,13.11%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"690,033",,,"1,192,271",,,57.88%,,
CY 2017,Use of Preventive Services (D1000 - D1999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"55,937",,,"546,142",,,10.24%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,47,,,"237,656",,,0.02%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"283,389",,,"1,459,208",,,19.42%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"13,822",,,"581,236",,,2.38%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"191,311",,,"1,085,000",,,17.63%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"49,889",,,"479,530",,,10.40%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"197,347",,,"2,798,498",,,7.05%,,
CY 2017,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"162,434",,,"880,582",,,18.45%,,
